iter	RMSE
154	0.6978744022
155	0.6964622582
156	0.6928565971
157	0.6909915046
158	0.6900432774
159	0.6877065737
160	0.6864451571
161	0.6857067938
162	0.6839801892
163	0.6803446641
164	0.6788761972
165	0.6777655598
166	0.6764626588
167	0.6752100808
168	0.6739731416
169	0.6720914663
170	0.6712310398
171	0.6695002099
172	0.6680988597
173	0.6676524401
174	0.6657796323
175	0.6637484279
176	0.661533891
177	0.6598604212
178	0.6587351354
179	0.6560960757
180	0.6552956239
181	0.6544890018
182	0.6532891678
183	0.652240484
184	0.6513451636
185	0.6487176389
186	0.6466845585
187	0.6458087481
188	0.6451123702
189	0.6422103881
190	0.6415548297
191	0.6379750834
192	0.6367249799
193	0.6356779143
194	0.6342260675
195	0.6335610067
196	0.6321383914
197	0.6306883953
198	0.6294126942
199	0.6290854069
200	0.6277721843
201	0.6259032498
202	0.6252931005
203	0.624064786
204	0.6230535012
205	0.6213788625
206	0.6208798335
207	0.6194844747
208	0.6180191549
209	0.6172908938
210	0.6158085396
211	0.6151362839
212	0.6143935717
213	0.6139564988
214	0.6121814442
215	0.6111077743
216	0.6102764389
217	0.6082483391
218	0.6064426625
219	0.6059102071
220	0.6055598488
221	0.6036804081
222	0.6023896515
223	0.6003473372
224	0.5999465298
225	0.5986092904
226	0.5978762517
227	0.5966206479
228	0.5954617421
229	0.5951466162
230	0.5929416079
231	0.5913860328
232	0.5906843855
233	0.5898460374
234	0.5891244661
235	0.5886654107
236	0.5882535605
237	0.5871211502
238	0.5860783941
239	0.5832172379
240	0.5824537957
241	0.579003403
242	0.5783885905
243	0.5772216735
244	0.5762494393
245	0.5749655427
246	0.5735898177
247	0.572424776
248	0.5710356584
249	0.5695566276
250	0.5690737995
251	0.5672542193
252	0.5666150957
253	0.5656923377
254	0.5647654658
255	0.5635014495
256	0.5630199381
257	0.5622216131
258	0.5619840169
259	0.5607916824
260	0.5589956403
261	0.5577011027
262	0.5570821568
263	0.5567785319
264	0.555396079
265	0.5547274218
266	0.553678725
267	0.5516760053
268	0.5500964705
269	0.5496552559
270	0.549238141
271	0.5478440429
272	0.5467125048
273	0.5457504943
274	0.545201979
275	0.5448582247
276	0.5435373547
277	0.5429300347
278	0.5421097597
279	0.541517636
280	0.5406432882
281	0.5392604616
282	0.5386905
283	0.5384588337
284	0.5372366113
285	0.5349259534
286	0.5324620325
287	0.5300257715
288	0.5281677911
289	0.5273470496
290	0.5257023979
291	0.5248704054
292	0.5238760201
293	0.5225777674
294	0.5213807881
295	0.5202145509
296	0.5196274016
297	0.517769881
298	0.5169034719
299	0.5159112121
300	0.5152160718
301	0.5134115932
302	0.5125718235
303	0.5114813738
304	0.5104336572
305	0.5094064152
306	0.5084913015
307	0.5080923153
308	0.5066276527
309	0.5049155077
310	0.5044922532
311	0.5042307737
312	0.5039175348
313	0.5027533497
314	0.5017816478
315	0.5006161802
316	0.4994412311
317	0.498131764
318	0.4974425033
319	0.4968688395
320	0.4953020079
321	0.4947516685
322	0.4942899691
323	0.493408274
324	0.4927124915
325	0.4908065224
326	0.4896563523
327	0.488844187
328	0.4881482514
329	0.4862906735
330	0.4852123562
331	0.4843107934
332	0.4832279859
333	0.4825281644
334	0.4815373787
335	0.4810969968
336	0.4804298674
337	0.4796888233
338	0.4786488624
339	0.4781451438
340	0.477658182
341	0.476320247
342	0.4752781739
343	0.4745369138
344	0.4728076028
345	0.4717753987
346	0.4711519404
347	0.4702411821
348	0.4695489865
349	0.4686850482
350	0.4684104663
351	0.4669279898
352	0.4660295782
353	0.4658820052
354	0.4654585097
355	0.4646360071
356	0.4643894266
357	0.4632832291
358	0.4625607307
359	0.4621356051
360	0.4614272597
361	0.4611415806
362	0.460495497
363	0.4593015771
364	0.458950146
365	0.4581582889
366	0.4575734698
367	0.457226773
368	0.4555350454
369	0.4546833299
370	0.4540743273
371	0.4522316845
372	0.4515357415
373	0.4505827272
374	0.4489804855
375	0.4484831714
376	0.4479380916
377	0.4462751033
378	0.4458466736
379	0.4444741577
380	0.4437681356
381	0.4436971805
382	0.4429180814
383	0.4414605478
384	0.440610611
385	0.4401027489
386	0.4392748127
387	0.4388455635
388	0.4371418275
389	0.4360100476
390	0.4349567271
391	0.4339052967
392	0.432972281
393	0.4325268838
394	0.4322545259
395	0.4315814052
396	0.4312846385
397	0.4305221782
398	0.4298586082
399	0.4285213002
400	0.4280447024
401	0.4272216295
402	0.426273076
403	0.4256343706
404	0.424550408
405	0.4239628368
406	0.4235178958
407	0.4232081197
408	0.4222253486
409	0.4217958883
410	0.4216220518
411	0.4206139526
412	0.4203058316
413	0.4193004811
414	0.4184819177
415	0.4181497013
416	0.416878701
417	0.4163234113
418	0.4147756636
419	0.4140860628
420	0.4139112151
421	0.4135111938
422	0.4124920573
423	0.4122256004
424	0.4117501492
425	0.4110187972
426	0.4100715423
427	0.4092871775
428	0.4088765162
429	0.4084464498
430	0.40761441
431	0.4067554227
432	0.4063919512
433	0.4052318428
434	0.4048925268
435	0.4038080782
436	0.4032176209
437	0.402962108
438	0.40283553
439	0.4024476204
440	0.4018411171
441	0.4014417285
442	0.4008413402
443	0.3988203828
444	0.3979994856
445	0.3977760792
446	0.3971472508
447	0.3968278361
448	0.3960402091
449	0.3956100204
450	0.3950727286
451	0.3940384836
452	0.3933583184
453	0.3930174191
454	0.3925505685
455	0.392227772
456	0.391868428
457	0.3916959807
458	0.3902763096
459	0.3896699034
460	0.3893858455
461	0.3884731486
462	0.3879038143
463	0.3873767975
464	0.3867058637
465	0.3863901602
466	0.3854466321
467	0.385041526
468	0.3846666517
469	0.3841930079
470	0.3835600453
471	0.3828267521
472	0.3819801778
473	0.3808224376
474	0.3802654984
475	0.3798585353
476	0.3789354884
477	0.37800929
478	0.3776880872
479	0.3774362424
480	0.3768263877
481	0.3757756259
482	0.3754915249
483	0.3742370214
484	0.3740904396
485	0.3737679165
486	0.3732508588
487	0.3729564403
488	0.3727421073
489	0.3724363081
490	0.3717930095
491	0.371499719
492	0.371092481
493	0.3707753156
494	0.3705434486
495	0.3700368984
496	0.3696849249
497	0.3693994614
498	0.3690819854
499	0.3680211144
500	0.3667535308
501	0.365920284
502	0.3655712538
503	0.3648997755
504	0.3645581826
505	0.3641152966
506	0.3638024537
507	0.363483664
508	0.3633345851
509	0.3627386885
510	0.3626075953
511	0.3619259068
512	0.3610239445
513	0.3605537659
514	0.3599761726
515	0.3596487746
516	0.358933429
517	0.358458694
518	0.3581308639
519	0.3579776791
520	0.3579210404
521	0.3571120951
522	0.3564249582
523	0.3561192606
524	0.3555784063
525	0.3549835025
526	0.3541118669
527	0.3532513734
528	0.3528012373
529	0.352414636
530	0.3516264806
531	0.350353867
532	0.3499504982
533	0.3493923414
534	0.3490055623
535	0.3488044378
536	0.3480562841
537	0.3472773638
538	0.3464402048
539	0.3459068547
540	0.3455101411
541	0.3451167042
542	0.3448879834
543	0.3447403736
544	0.3443550923
545	0.3440445108
546	0.3428704916
547	0.3426116847
548	0.3422371904
549	0.3411324545
550	0.3400766541
551	0.3397673683
552	0.3386140282
553	0.3371113616
554	0.3369793043
555	0.3363855219
556	0.3358600693
557	0.3356632279
558	0.3352756107
559	0.3350858792
560	0.3346683312
561	0.3338093549
562	0.333503385
563	0.3325507212
564	0.3318852434
565	0.330729216
566	0.3302110508
567	0.3294875462
568	0.3289503376
569	0.3284391239
570	0.3279483187
571	0.327356944
572	0.3270462863
573	0.3267250977
574	0.3259108663
575	0.3252625472
576	0.3250445887
577	0.3244482845
578	0.3240962354
579	0.3239751278
580	0.323758896
581	0.3235560585
582	0.3233239018
583	0.3229283931
584	0.322674683
585	0.3220124702
586	0.3217724141
587	0.321584905
588	0.3212520486
589	0.3210978777
590	0.320909109
591	0.3207319371
592	0.3203601604
593	0.3193744566
594	0.3191677705
595	0.3185471763
596	0.3184204061
597	0.3180681463
598	0.3177147429
599	0.3173427687
600	0.3167715105
601	0.3164850979
602	0.3162153867
603	0.3153864514
604	0.3150186422
605	0.3147665888
606	0.3145310002
607	0.3141126694
608	0.3135152912
609	0.3128216147
610	0.3124315758
611	0.3121440316
612	0.3118995284
613	0.3114355327
614	0.3113072501
615	0.3109034746
616	0.31067564
617	0.3101347167
618	0.3098702569
619	0.3096625211
620	0.3094697511
621	0.3091748863
622	0.308811043
623	0.3085915081
624	0.308038659
625	0.3077438004
626	0.3075512093
627	0.3073650666
628	0.3073150689
629	0.3068575683
630	0.3064718314
631	0.3057352342
632	0.3053175741
633	0.304900255
634	0.3046522177
635	0.3040167789
636	0.3037016233
637	0.303220809
638	0.3026228448
639	0.3022374899
640	0.3019225765
641	0.3018282615
642	0.3014331631
643	0.3013206389
644	0.3008971135
645	0.3003883357
646	0.300157067
647	0.2998650244
648	0.299706548
649	0.2992653104
650	0.2988963646
651	0.2980710372
652	0.2970145551
653	0.2965781582
654	0.2961676515
655	0.295612538
656	0.2946894964
657	0.2943299133
658	0.2941669365
659	0.2938790329
660	0.2932445979
661	0.2929704903
662	0.2922086747
663	0.2916164217
664	0.2915203929
665	0.2913173369
666	0.29111752
667	0.2900652759
668	0.2894561647
669	0.289204993
670	0.2888648193
671	0.2886656074
672	0.2882702013
673	0.2877438759
674	0.2875370557
675	0.287260619
676	0.2866088888
677	0.2864095869
678	0.28609711
679	0.2857942488
680	0.2856128779
681	0.2853714698
682	0.2850575728
683	0.2847774371
684	0.2841981955
685	0.2840596741
686	0.2839395832
687	0.2838094603
688	0.2835566711
689	0.2833175517
690	0.2827968441
691	0.2820548204
692	0.2813426594
693	0.2808326346
694	0.2807504346
695	0.2800729502
696	0.2792613864
697	0.2786197933
698	0.2782680708
699	0.277273949
700	0.2768000705
701	0.2763641411
702	0.2760624694
703	0.2757449205
704	0.2752723979
705	0.275247174
706	0.2748448763
707	0.274529312
708	0.2743150334
709	0.2739466307
710	0.2735667484
711	0.272183549
712	0.271392488
713	0.2707819749
714	0.2707309104
715	0.2702338057
716	0.2700125566
717	0.2694429918
718	0.2689972653
719	0.2687548905
720	0.2680543547
721	0.267879612
722	0.2677030933
723	0.2672819299
724	0.2669056671
725	0.2658969902
726	0.265708075
727	0.2654543382
728	0.265222496
729	0.2650999832
730	0.2646264361
731	0.2641538813
732	0.2638412545
733	0.2634289648
734	0.263032617
735	0.2620766248
736	0.2617511548
737	0.2612684144
738	0.260259721
739	0.2600773532
740	0.2598923596
741	0.2597316666
742	0.2595384139
743	0.2590255413
744	0.2587228034
745	0.2585233985
746	0.2583178502
747	0.2578252401
748	0.2573712726
749	0.2565635996
750	0.2563793875
751	0.2560510425
752	0.2552519051
753	0.2547729646
754	0.2538020448
755	0.2528217686
756	0.2525938135
757	0.2516987338
758	0.2515468249
759	0.2509496286
760	0.2507640672
761	0.250643911
762	0.2503831358
763	0.2499981233
764	0.2498221523
765	0.2495023667
766	0.2491390869
767	0.2486693148
768	0.2484054582
769	0.2481866791
770	0.2480580766
771	0.2479620707
772	0.2477007014
773	0.247167814
774	0.2469908585
775	0.2466308687
776	0.246342627
777	0.2455805179
778	0.245021232
779	0.2448903711
780	0.2445542243
781	0.2444010141
782	0.2440548845
783	0.2439423653
784	0.2432787005
785	0.2429995228
786	0.2426771655
787	0.2425022486
788	0.2421964298
789	0.2416284595
790	0.2415496208
791	0.2413546551
792	0.2411624444
793	0.2408750586
794	0.2405487243
795	0.2404970797
796	0.2401308292
797	0.2400546425
798	0.2399405512
799	0.2392721894
800	0.2391148217
801	0.2388008402
802	0.2383105984
803	0.2381938105
804	0.2377373601
805	0.2368107263
806	0.2365197977
807	0.2359498483
808	0.2355359245
809	0.2353677147
810	0.2351482567
811	0.2348532806
812	0.234689569
813	0.2346045546
814	0.2343602253
815	0.2341707518
816	0.234103024
817	0.2336220504
818	0.2330921833
819	0.232864089
820	0.2324639221
821	0.2323989434
822	0.2322811668
823	0.2316364699
824	0.2314668712
825	0.2313565764
826	0.231068195
827	0.2309320582
828	0.2303273065
829	0.2300279955
830	0.2299293492
831	0.2295599616
832	0.229452851
833	0.229104761
834	0.2278070777
835	0.2277180075
836	0.227171157
837	0.226998268
838	0.2264729844
839	0.2255160043
840	0.2253755439
841	0.2251742903
842	0.2250474768
843	0.2245743023
844	0.2245144627
845	0.224144537
846	0.2237826708
847	0.2233388661
848	0.2229127361
849	0.2226632463
